,coronavirus,covid19,corona,covid_19,stayhome,quarantine,love,covid,virus,art,instagood,photooftheday,instagram,photography,picoftheday,stayathome,staysafe,explorepage,quedateencasa,fashion,explore,yomequedoencasa,fitness,beautiful,nature,cuarentena,life,memes,tiktok,drawing,follow,lockdown,artist,socialdistancing,likeforlikes,cute,illustration,design,music,followforfollowback,italia,pandemic,shanghai,motivation,2020,repost,travel,streetphotography,iorestoacasa,india,tbt,coronamemes,funny,followme,mila_polaroid,photoalbum,gerobokphoto,polaroid,polaroidmurahmalaysia,polaroidmurah,polaroidkalisair,polaroidfamily,polaroidmember,polaroidviral,quarentena,alien,food,me,ancientaliens,china,ufo,meme,s4,spaceship,contacttour,ufos,uap,ufologia,area51,unidentifiedflyingobject,unidentified,unacknowledged,ufosightings,et,ets,disclosure,siriusdisclosure,cseti,mufon,drstevengreer,djteez,tothestarsacademy,коронавирус,viral,artwork,health,italy,superring,happy,covıd19,instadaily,goodvibes,mask,smile,paris,comedy,saude,fun,magras,leica,كورونا,style,selflove,selfcare,pandemia,nutricaosaudavel,السعودية,girl,artistsoninstagram,herbagaharu,اكسبلورر,الامارات,قطر,ipastayathome,luciecovidphoto,مصر,كرونا,كويت,البحرين,حجر,صحي,حجر_صحي,وزارة,الصحة,وزارة_الصحة_الكويت,حظر_التجول,ضحك,کرونا,peace,mentalhealth,quoteoftheday,selfie,happiness,confinement,support,like,mindfulness,空城紀,theemptiness,anxiety,draw,photo,lifestyle,sketch,quarantinelife,humor,کروناویروس,feminism,depression,psychology,like4likes,youtube,funnymemes,instalike,like4like,facts,model,blogger,memesdaily,dankmemes,کرونا_ویروس,family,instaart,likeforfollow,therapy,mentalhealthawareness,mentalhealthawarenessweek,suicide,mentalhealthsupport,psych,therapistsofinstagram,suicidepreventation,psychotherapy,psychotherapis,mytherapistsays,psychologicalcounseling,advice,therapistproblems,takeiteasy,fiqueemcasa,spring,facebook,friends,newyork,photographer,digitalart,artoftheday,travelphotography,beauty,sketchbook
life,93.0,6.0,9.0,10.0,10.0,20.0,45.0,6.0,4.0,7.0,21.0,25.0,13.0,14.0,22.0,6.0,7.0,0.0,5.0,12.0,0.0,4.0,7.0,12.0,14.0,2.0,129.0,0.0,1.0,2.0,10.0,2.0,1.0,2.0,3.0,9.0,3.0,3.0,1.0,1.0,0.0,5.0,0.0,56.0,2.0,3.0,8.0,2.0,2.0,7.0,8.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,8.0,2.0,0.0,14.0,3.0,10.0,8.0,1.0,13.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,7.0,55.0,55.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,54.0,52.0,1.0,53.0,1.0,53.0,11.0,54.0,0.0,0.0,55.0,1.0,12.0,10.0,1.0,0.0,0.0,0.0,0.0,54.0,51.0,2.0,0.0,0.0,9.0,2.0,51.0,1.0,4.0,0.0,0.0,0.0,13.0,1.0,0.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,0.0,4.0,0.0,6.0,1.0,5.0,0.0,1.0,2.0,8.0,1.0
memes,120.0,15.0,64.0,5.0,6.0,11.0,14.0,8.0,8.0,12.0,7.0,1.0,8.0,1.0,0.0,2.0,5.0,51.0,4.0,4.0,21.0,6.0,0.0,0.0,0.0,6.0,0.0,151.0,25.0,5.0,23.0,3.0,1.0,8.0,1.0,3.0,2.0,1.0,5.0,11.0,4.0,6.0,0.0,1.0,18.0,5.0,0.0,0.0,4.0,9.0,0.0,15.0,44.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,3.0,4.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,26.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,22.0,0.0,1.0,0.0,1.0,2.0,2.0,43.0,0.0,8.0,0.0,0.0,0.0,57.0,61.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0
tiktok,120.0,15.0,46.0,20.0,6.0,22.0,18.0,3.0,2.0,3.0,9.0,1.0,26.0,3.0,3.0,0.0,2.0,14.0,9.0,7.0,10.0,8.0,1.0,8.0,1.0,11.0,1.0,25.0,156.0,0.0,21.0,4.0,6.0,1.0,3.0,2.0,1.0,0.0,7.0,10.0,2.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,2.0,7.0,11.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,6.0,0.0,7.0,0.0,1.0,2.0,0.0,6.0,1.0,26.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,19.0,3.0,16.0,0.0,5.0,1.0,7.0,24.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,4.0,3.0,0.0,1.0,0.0,2.0,3.0,0.0
drawing,98.0,16.0,20.0,26.0,9.0,10.0,14.0,16.0,31.0,109.0,25.0,22.0,5.0,2.0,6.0,8.0,2.0,1.0,5.0,8.0,1.0,9.0,0.0,26.0,1.0,8.0,2.0,5.0,0.0,164.0,0.0,2.0,51.0,5.0,2.0,2.0,70.0,30.0,4.0,5.0,0.0,3.0,0.0,0.0,11.0,1.0,3.0,0.0,4.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,1.0,7.0,0.0,1.0,9.0,2.0,9.0,7.0,0.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,83.0,0.0,0.0,47.0,0.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,15.0,29.0,0.0,1.0,41.0
follow,95.0,10.0,18.0,7.0,10.0,9.0,50.0,7.0,15.0,37.0,49.0,41.0,20.0,8.0,41.0,7.0,1.0,15.0,2.0,37.0,15.0,1.0,8.0,31.0,30.0,1.0,10.0,23.0,21.0,0.0,123.0,2.0,9.0,2.0,13.0,41.0,2.0,8.0,12.0,26.0,2.0,2.0,0.0,5.0,6.0,31.0,10.0,0.0,0.0,5.0,39.0,9.0,18.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,30.0,42.0,0.0,5.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,3.0,2.0,0.0,33.0,3.0,35.0,5.0,8.0,34.0,0.0,18.0,0.0,26.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,26.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,5.0,7.0,10.0,40.0,0.0,3.0,0.0,7.0,15.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,26.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0
lockdown,116.0,29.0,57.0,23.0,45.0,25.0,13.0,14.0,13.0,5.0,4.0,2.0,9.0,5.0,3.0,11.0,48.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,4.0,2.0,2.0,118.0,3.0,14.0,15.0,0.0,2.0,1.0,5.0,13.0,1.0,5.0,0.0,0.0,5.0,2.0,0.0,2.0,4.0,21.0,0.0,8.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,24.0,1.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,2.0,5.0,0.0,1.0,13.0,1.0,2.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,13.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0
artist,92.0,11.0,20.0,29.0,19.0,19.0,20.0,9.0,24.0,86.0,43.0,33.0,8.0,5.0,9.0,8.0,7.0,7.0,3.0,7.0,5.0,2.0,2.0,23.0,2.0,2.0,1.0,1.0,6.0,51.0,9.0,3.0,129.0,1.0,1.0,7.0,45.0,19.0,14.0,9.0,2.0,1.0,3.0,0.0,8.0,1.0,8.0,1.0,7.0,1.0,7.0,7.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,29.0,2.0,5.0,0.0,2.0,10.0,1.0,1.0,14.0,1.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,3.0,1.0,4.0,0.0,0.0,0.0,1.0,30.0,0.0,0.0,34.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,8.0,0.0,1.0,0.0,0.0,1.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,1.0,20.0,41.0,1.0,1.0,34.0
socialdistancing,111.0,39.0,23.0,28.0,49.0,51.0,21.0,20.0,15.0,11.0,12.0,10.0,7.0,14.0,5.0,15.0,34.0,0.0,6.0,4.0,0.0,5.0,6.0,1.0,1.0,5.0,2.0,8.0,1.0,5.0,2.0,14.0,1.0,112.0,2.0,6.0,5.0,1.0,2.0,0.0,5.0,12.0,0.0,6.0,5.0,1.0,2.0,0.0,5.0,4.0,3.0,22.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,9.0,1.0,0.0,2.0,9.0,5.0,4.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,6.0,4.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,26.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,7.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,3.0,1.0,2.0
likeforlikes,86.0,6.0,51.0,38.0,20.0,7.0,14.0,9.0,35.0,1.0,18.0,40.0,76.0,13.0,39.0,6.0,14.0,2.0,2.0,7.0,2.0,2.0,7.0,5.0,6.0,5.0,3.0,1.0,3.0,2.0,13.0,15.0,1.0,2.0,142.0,3.0,0.0,3.0,3.0,70.0,2.0,1.0,0.0,1.0,1.0,2.0,5.0,1.0,2.0,17.0,2.0,3.0,31.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,2.0,0.0,3.0,5.0,4.0,2.0,13.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,2.0,0.0,9.0,4.0,0.0,4.0,15.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0
cute,87.0,8.0,18.0,10.0,21.0,24.0,61.0,8.0,7.0,38.0,65.0,66.0,4.0,14.0,50.0,7.0,2.0,5.0,2.0,42.0,1.0,3.0,4.0,40.0,34.0,10.0,9.0,3.0,2.0,2.0,41.0,0.0,7.0,6.0,3.0,122.0,0.0,8.0,1.0,8.0,1.0,0.0,0.0,3.0,1.0,24.0,9.0,0.0,3.0,3.0,47.0,1.0,2.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,26.0,49.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,42.0,1.0,29.0,5.0,13.0,36.0,1.0,0.0,0.0,29.0,0.0,0.0,0.0,26.0,0.0,0.0,1.0,0.0,0.0,28.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,9.0,32.0,0.0,2.0,3.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,26.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0
illustration,79.0,12.0,10.0,24.0,11.0,9.0,10.0,10.0,19.0,71.0,22.0,21.0,8.0,1.0,3.0,8.0,3.0,1.0,4.0,6.0,1.0,7.0,0.0,20.0,1.0,5.0,3.0,2.0,1.0,70.0,2.0,2.0,45.0,5.0,0.0,0.0,109.0,27.0,5.0,0.0,1.0,5.0,0.0,0.0,7.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,2.0,0.0,1.0,2.0,2.0,4.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,5.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,47.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,25.0,31.0,0.0,2.0,35.0
design,98.0,6.0,11.0,19.0,14.0,10.0,30.0,1.0,16.0,52.0,24.0,23.0,15.0,20.0,9.0,1.0,1.0,1.0,2.0,23.0,1.0,3.0,7.0,27.0,7.0,2.0,3.0,1.0,0.0,30.0,8.0,1.0,19.0,1.0,3.0,8.0,27.0,121.0,5.0,16.0,0.0,1.0,3.0,0.0,10.0,2.0,22.0,3.0,4.0,13.0,14.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,14.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,0.0,13.0,0.0,4.0,10.0,10.0,15.0,6.0,9.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,9.0,1.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,8.0,9.0,8.0,12.0,0.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,1.0,0.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,1.0,4.0,6.0,17.0,4.0,3.0,10.0,3.0
music,98.0,6.0,23.0,22.0,14.0,13.0,37.0,10.0,5.0,23.0,10.0,1.0,11.0,5.0,7.0,6.0,4.0,10.0,4.0,11.0,7.0,3.0,3.0,3.0,2.0,4.0,1.0,5.0,7.0,4.0,12.0,5.0,14.0,2.0,3.0,1.0,5.0,5.0,130.0,7.0,0.0,5.0,1.0,0.0,5.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,0.0,7.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,5.0,5.0,0.0,1.0,7.0,3.0,3.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,6.0,2.0,1.0,2.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,2.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,1.0,0.0,1.0
followforfollowback,88.0,2.0,33.0,17.0,26.0,8.0,21.0,0.0,21.0,19.0,17.0,24.0,43.0,7.0,18.0,1.0,13.0,12.0,1.0,3.0,8.0,1.0,2.0,9.0,2.0,1.0,1.0,11.0,10.0,5.0,26.0,13.0,9.0,0.0,70.0,8.0,0.0,16.0,7.0,106.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0,0.0,0.0,19.0,8.0,6.0,24.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,14.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,7.0,0.0,4.0,6.0,2.0,5.0,19.0,3.0,1.0,15.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,3.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,35.0,2.0,10.0,4.0,4.0,0.0,3.0,15.0,11.0,9.0,0.0,2.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0
italia,100.0,33.0,49.0,14.0,22.0,5.0,12.0,45.0,15.0,2.0,6.0,12.0,1.0,12.0,15.0,14.0,6.0,0.0,5.0,3.0,0.0,5.0,0.0,2.0,7.0,4.0,0.0,4.0,2.0,0.0,2.0,1.0,2.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,106.0,22.0,0.0,0.0,0.0,2.0,1.0,2.0,46.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,22.0,0.0,0.0,1.0,0.0,0.0,15.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,21.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,9.0,1.0,0.0,1.0,0.0,0.0
pandemic,102.0,35.0,53.0,27.0,36.0,18.0,13.0,23.0,29.0,5.0,8.0,10.0,5.0,5.0,6.0,26.0,16.0,2.0,7.0,1.0,2.0,6.0,2.0,1.0,3.0,6.0,5.0,6.0,0.0,3.0,2.0,5.0,1.0,12.0,1.0,0.0,5.0,1.0,5.0,0.0,22.0,105.0,0.0,6.0,11.0,3.0,2.0,0.0,21.0,1.0,5.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,9.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,18.0,11.0,0.0,0.0,7.0,7.0,1.0,14.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0
